sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.2.1

File location:	C:\Users\Matthew_Sasaki\OneDrive - UMass Lowell\Lab Admin\Loligo_resp\Respiration Data\2026_02_10_10C_boston.csv
File creation time:	2/10/2026 6:05:59 PM
SDR name:	SDR-1386
Serial number	SEBX0009001386
MUX channel	ON - 01

PARAMETERS
Sig LED current	065
Ref LED current	085
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Is air breather:	False
Salinity [‰]:	35.00
Temperature [°C]:	10.00
Set individual organisms per chamber:	False
Organisms per chamber:	1
Chamber volume [µL]:	500.00
Oxygen unit:	AirSaturation

TREATMENTS
ID	Name	Color
X	Not set	#000e0ebe
0	Blank	#ff000000
3	Pseudocalanus	#ff5fe8d6
4	Acartia hudsonica	#ff007dea

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64	55.64
Phase high [°]:	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52	49.52
Temp. low [°C]:	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00
Temp. high [°C]:	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00	10.00
Treatment ID	0	4	0	4	X	X	0	4	3	3	X	X	3	0	3	0	X	X	4	4	3	0	X	X
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Organisms	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1


Date [DD-MM-YYYY]	Time [hh:mm:ss]	Time stamp	Relative time [hh:mm:ss]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
2/10/2026	6:05:52 PM	134152383527279308	0:00:00	49.99	49.86	49.64	49.77	49.62	49.69	49.66	49.65	49.66	50.02	49.45	49.62	49.74	49.63	49.75	49.71	49.47	49.45	49.73	49.77	49.72	49.58	49.60	49.60	100834	91600	91792	87976	84483	91868	85216	85885	85217	99163	87983	91014	77615	87516	83548	92557	86909	82965	72786	78137	74932	80718	76662	78272	91.4	93.8	97.8	95.4	98.2	96.9	97.4	97.6	97.4	90.9	101.3	98.2	96.0	98.0	95.8	96.5	100.9	101.3	96.2	95.4	96.3	98.9	98.5	98.5
2/10/2026	6:06:22 PM	134152383827278963	0:00:29	50.00	49.88	49.65	49.79	49.64	49.70	49.67	49.66	49.66	50.06	49.46	49.65	49.75	49.65	49.76	49.72	49.49	49.47	49.74	49.80	49.73	49.59	49.62	49.62	100888	91439	91766	88048	84563	91856	85398	85709	85194	99260	88063	91021	77593	87253	83319	92672	86950	82980	72700	77993	74904	80834	76554	78136	91.3	93.4	97.6	95.1	97.8	96.7	97.3	97.4	97.4	90.2	101.1	97.6	95.8	97.6	95.6	96.3	100.6	100.9	96.0	94.9	96.2	98.7	98.2	98.2
2/10/2026	6:06:52 PM	134152384127274544	0:00:59	50.00	49.87	49.66	49.80	49.65	49.70	49.67	49.68	49.68	50.07	49.46	49.64	49.76	49.65	49.76	49.73	49.48	49.49	49.75	49.80	49.74	49.60	49.63	49.62	100934	91766	91727	88043	84525	91984	85489	85839	85082	99206	88194	91126	77643	87334	83526	92894	86982	83169	72860	77978	75036	80873	76812	78336	91.3	93.6	97.4	94.9	97.6	96.7	97.3	97.1	97.1	90.0	101.1	97.8	95.6	97.6	95.6	96.2	100.7	100.6	95.8	94.9	96.0	98.5	98.0	98.2
2/10/2026	6:07:22 PM	134152384427288212	0:01:30	50.00	49.88	49.66	49.80	49.65	49.71	49.68	49.69	49.68	50.07	49.48	49.65	49.76	49.66	49.78	49.73	49.49	49.48	49.74	49.79	49.74	49.59	49.63	49.63	100942	91454	91929	88077	84578	91885	85379	86010	85144	99336	88067	91138	77746	87482	83692	92754	87037	83134	72935	78134	74934	80831	76836	78257	91.3	93.4	97.4	94.9	97.6	96.5	97.1	96.9	97.1	90.0	100.7	97.6	95.6	97.4	95.2	96.2	100.6	100.7	96.0	95.1	96.0	98.7	98.0	98.0
2/10/2026	6:07:52 PM	134152384727290116	0:02:00	50.01	49.89	49.67	49.81	49.66	49.71	49.69	49.68	49.69	50.08	49.48	49.66	49.76	49.66	49.78	49.75	49.50	49.49	49.75	49.80	49.74	49.60	49.65	49.64	100965	91360	91741	87907	84738	91843	85376	85918	85127	99320	88200	91235	77682	87410	83537	92728	87087	83150	72805	78276	74989	80993	76815	78252	91.1	93.2	97.3	94.7	97.4	96.5	96.9	97.1	96.9	89.8	100.7	97.4	95.6	97.4	95.2	95.8	100.4	100.6	95.8	94.9	96.0	98.5	97.6	97.8
2/10/2026	6:08:22 PM	134152385027300972	0:02:30	50.01	49.88	49.67	49.81	49.66	49.71	49.67	49.69	49.69	50.07	49.48	49.65	49.77	49.66	49.78	49.76	49.50	49.48	49.76	49.78	49.74	49.61	49.64	49.64	100988	91510	91565	88021	84542	91851	85469	85837	85153	99657	88170	91016	77527	87397	83391	92889	86810	82966	72893	78076	75024	80909	76792	78314	91.1	93.4	97.3	94.7	97.4	96.5	97.3	96.9	96.9	90.0	100.7	97.6	95.4	97.4	95.2	95.6	100.4	100.7	95.6	95.2	96.0	98.3	97.8	97.8
2/10/2026	6:08:52 PM	134152385327314855	0:03:00	50.01	49.90	49.68	49.82	49.66	49.72	49.68	49.70	49.70	50.08	49.49	49.67	49.78	49.66	49.80	49.76	49.52	49.49	49.76	49.78	49.75	49.61	49.66	49.65	101039	91807	91865	88156	84669	91934	85532	85971	85353	99558	88522	91136	77751	87394	83576	93071	87029	83168	73010	78104	75080	81014	77013	78365	91.1	93.1	97.1	94.5	97.4	96.3	97.1	96.7	96.7	89.8	100.6	97.3	95.2	97.4	94.9	95.6	100.0	100.6	95.6	95.2	95.8	98.3	97.4	97.6
2/10/2026	6:09:22 PM	134152385627310034	0:03:30	50.02	49.92	49.68	49.83	49.68	49.74	49.69	49.73	49.71	50.10	49.51	49.69	49.79	49.68	49.82	49.78	49.54	49.51	49.78	49.80	49.77	49.62	49.66	49.67	101067	91563	91838	88042	84730	91892	85398	85955	85159	99479	88140	91270	77609	87417	83551	93016	86812	83016	72964	78257	75350	81061	76911	78349	90.9	92.7	97.1	94.3	97.1	96.0	96.9	96.2	96.5	89.5	100.2	96.9	95.1	97.1	94.5	95.2	99.6	100.2	95.2	94.9	95.4	98.2	97.4	97.3
2/10/2026	6:09:52 PM	134152385927314060	0:04:00	50.03	49.92	49.70	49.84	49.68	49.75	49.70	49.74	49.72	50.11	49.51	49.69	49.79	49.68	49.82	49.77	49.54	49.53	49.79	49.79	49.78	49.64	49.67	49.67	101082	91941	91945	88002	84576	91839	85308	85960	85166	99488	88336	91099	77818	87325	83743	92963	86771	83189	72873	78272	75189	81107	76956	78328	90.7	92.7	96.7	94.2	97.1	95.8	96.7	96.0	96.3	89.3	100.2	96.9	95.1	97.1	94.5	95.4	99.6	99.8	95.1	95.1	95.2	97.8	97.3	97.3
2/10/2026	6:10:22 PM	134152386227316930	0:04:30	50.03	49.91	49.69	49.84	49.69	49.74	49.71	49.74	49.72	50.12	49.51	49.69	49.80	49.68	49.81	49.78	49.55	49.52	49.79	49.79	49.77	49.64	49.68	49.67	101122	91778	91839	88252	84662	92093	85487	85957	85288	99438	88563	91131	77799	87501	83542	92971	86909	83174	73009	78244	75185	81094	76840	78440	90.7	92.9	96.9	94.2	96.9	96.0	96.5	96.0	96.3	89.1	100.2	96.9	94.9	97.1	94.7	95.2	99.4	100.0	95.1	95.1	95.4	97.8	97.1	97.3
